time_seconds,ax,ay,az,gx,gy,gz,motion_magnitude
0.09592270851135254,-2940.0,7784.0,13544.0,12952.0,4920.0,-2262.0,15895.728734474555
0.15573859214782715,-1608.0,8920.0,13672.0,13284.0,4059.0,-1524.0,16403.525474726463
0.18178105354309082,-2520.0,8300.0,11656.0,12684.0,3062.0,-2196.0,14529.374934937841
0.20777392387390137,-3676.0,9016.0,13552.0,12358.0,1063.0,-1487.0,16687.058937991438
0.23495078086853027,-4156.0,10820.0,13640.0,11254.0,628.0,-1679.0,17899.56245275286
0.2609269618988037,-4392.0,9916.0,12624.0,8585.0,-3467.0,-4184.0,16642.779094850717
0.286776065826416,-2612.0,9300.0,11896.0,5849.0,-2959.0,-6125.0,15324.077786281301
0.3119199275970459,-3220.0,9976.0,12688.0,3131.0,1604.0,-6448.0,16458.259932325775
0.33536195755004883,-3128.0,11888.0,13920.0,1515.0,2453.0,-6058.0,18570.819260334207
0.3602769374847412,-3560.0,11864.0,13968.0,-92.0,690.0,-4724.0,18669.041753662666
0.38537049293518066,-3184.0,10540.0,14292.0,-2139.0,735.0,-3713.0,18041.361367701717
0.4109175205230713,-3544.0,11232.0,13280.0,-4394.0,-917.0,-2956.0,17750.384784561713
0.4373900890350342,-3272.0,10988.0,12940.0,-5227.0,-1485.0,-3162.0,17288.31188982892
0.4642825126647949,-3396.0,10224.0,12920.0,-5733.0,-4608.0,-2918.0,16822.288548232667
0.4918391704559326,-2728.0,10016.0,12720.0,-5218.0,-7140.0,-2347.0,16418.301982848287
0.5184259414672852,-3304.0,8696.0,11512.0,-3591.0,-9212.0,-2294.0,14800.776195862161
0.5423591136932373,-2688.0,8152.0,11276.0,-2339.0,-9042.0,-2555.0,14171.401624398342
0.5662150382995605,-2656.0,7572.0,11620.0,-492.0,-11165.0,-1261.0,14121.399364085699
0.5871970653533936,-1532.0,7720.0,11132.0,1234.0,-13707.0,551.0,13633.299233861186
0.6108050346374512,112.0,7816.0,11220.0,2633.0,-12722.0,732.0,13674.457941724784
0.6343502998352051,372.0,7848.0,11256.0,3583.0,-11669.0,1711.0,13726.872331306939
0.6563348770141602,860.0,8540.0,11284.0,4560.0,-12740.0,2928.0,14177.441800268482
0.6785540580749512,1480.0,8544.0,11172.0,4916.0,-11195.0,2421.0,14142.274215980964
0.7008674144744873,1684.0,9468.0,12084.0,5140.0,-10329.0,2220.0,15443.507891667618
0.7240753173828125,1144.0,10156.0,12036.0,5288.0,-11408.0,3447.0,15789.818491673677
0.746269941329956,2668.0,11012.0,12028.0,4969.0,-9791.0,3548.0,16524.380533018477
0.7681467533111572,3464.0,10652.0,12108.0,3595.0,-8966.0,2242.0,16494.4858664949
0.7915849685668945,3948.0,10536.0,11608.0,1982.0,-6364.0,1509.0,16166.003340343586
0.8142235279083252,4744.0,11172.0,11128.0,967.0,-6156.0,1433.0,16466.678596486905
0.8376815319061279,4688.0,10976.0,11028.0,679.0,-7222.0,2922.0,16250.129353331315
0.8611111640930176,2864.0,11832.0,11508.0,-291.0,-8142.0,2792.0,16752.097898472297
0.885103702545166,2828.0,12436.0,15020.0,-4499.0,-5559.0,-934.0,19704.113276166478
0.9100346565246582,4404.0,11552.0,12696.0,-6591.0,-7817.0,178.0,17720.957536205544
0.9348065853118896,4744.0,10136.0,12372.0,-8614.0,-7608.0,714.0,16682.63816067471
0.9565212726593018,5860.0,9756.0,12528.0,-10792.0,-6063.0,1861.0,16925.422299015172
0.9783670902252197,4840.0,9660.0,12396.0,-10676.0,-7405.0,3558.0,16443.9051322975
1.0002214908599854,4900.0,9092.0,11692.0,-8252.0,-7894.0,3701.0,15600.555374729453
1.022500991821289,5804.0,9176.0,10828.0,-4783.0,-5846.0,1080.0,15333.98108776713
1.0444340705871582,6752.0,8276.0,11032.0,-3246.0,-7102.0,506.0,15355.3477329561
1.0662815570831299,7584.0,8048.0,11348.0,-2674.0,-5835.0,-136.0,15845.013852944401
1.0887742042541504,7700.0,8752.0,12224.0,-2640.0,-4260.0,-272.0,16891.230861011874
1.111476182937622,8100.0,9428.0,12736.0,-3109.0,-3157.0,1059.0,17796.147897789568
