time_seconds,ax,ay,az,gx,gy,gz,motion_magnitude
1.6279017925262451,-1024.0,24.0,16284.0,-566.0,-116.0,-371.0,16316.182396626975
1.6561391353607178,-1644.0,-296.0,18428.0,-860.0,445.0,-289.0,18503.55468551921
1.6830224990844727,-720.0,-8.0,15720.0,-555.0,-216.0,-225.0,15736.481944831252
1.7107865810394287,-972.0,120.0,16408.0,-530.0,-225.0,-262.0,16437.20316842254
1.736572265625,-1168.0,-16.0,16536.0,-727.0,66.0,-263.0,16577.206519796993
1.7612569332122803,-940.0,124.0,16136.0,-705.0,92.0,-229.0,16163.832218876809
1.7879152297973633,-820.0,-4.0,16532.0,-745.0,128.0,-253.0,16552.32430808435
1.814058542251587,-932.0,88.0,16324.0,-790.0,381.0,-279.0,16350.8208968235
1.8395771980285645,-1100.0,28.0,16308.0,-776.0,218.0,-301.0,16345.08023840813
1.8643584251403809,-1080.0,96.0,16404.0,-665.0,20.0,-273.0,16439.794159295303
1.8909883499145508,-1048.0,-48.0,16332.0,-640.0,-21.0,-228.0,16365.660145560887
1.9159924983978271,-1060.0,-8.0,16396.0,-636.0,-20.0,-235.0,16430.230673974118
1.9408910274505615,-1112.0,16.0,16388.0,-674.0,-25.0,-247.0,16425.691583613763
1.967261791229248,-1124.0,-48.0,16412.0,-588.0,-112.0,-221.0,16450.51439925208
1.994105577468872,-1124.0,4.0,16368.0,-468.0,-297.0,-202.0,16406.54796110382
2.0201914310455322,-932.0,-76.0,16368.0,-525.0,-254.0,-229.0,16394.688896102907
2.0447118282318115,-928.0,4.0,16336.0,-568.0,-143.0,-221.0,16362.337730287809
2.0707361698150635,-1072.0,-24.0,16376.0,-615.0,-119.0,-242.0,16411.06748508457
2.0975937843322754,-1072.0,88.0,16260.0,-588.0,-88.0,-234.0,16295.53705773455
2.1244406700134277,-984.0,104.0,16356.0,-661.0,32.0,-254.0,16385.902721546958
2.1530091762542725,-1084.0,96.0,16380.0,-690.0,32.0,-248.0,16416.110136082785
2.178926706314087,-1000.0,32.0,16364.0,-723.0,144.0,-285.0,16394.557633556327
2.203947067260742,-1044.0,-44.0,16512.0,-716.0,57.0,-263.0,16545.029948597858
2.230933666229248,-1048.0,-32.0,16360.0,-622.0,-130.0,-239.0,16393.563615028917
2.2557554244995117,-1036.0,-48.0,16388.0,-617.0,-55.0,-228.0,16420.783903334213
2.280675172805786,-1044.0,-64.0,16224.0,-622.0,-47.0,-211.0,16257.681507521298
2.3063488006591797,-1048.0,-72.0,16344.0,-645.0,-10.0,-242.0,16377.723407116144
2.3313546180725098,-1108.0,-124.0,16536.0,-566.0,-192.0,-233.0,16573.543254235046
2.3579213619232178,-1012.0,-104.0,16440.0,-445.0,-350.0,-215.0,16471.44680955501
2.383333444595337,-980.0,72.0,16220.0,-482.0,-314.0,-203.0,16249.737967118115
2.4137682914733887,-1048.0,72.0,16500.0,-505.0,-248.0,-224.0,16533.405214897506
